5
Rockets Mavericks Thunder Warriors
6
Rockets Mavericks Rockets
Thunder Warriors Thunder
Rockets Thunder Rockets
Rockets Warriors Rockets
Mavericks Thunder Thunder
Mavericks Warriors Mavericks
A B C D
12
A B A
A B A
A C C
A C A
A D D
A D D
B C B
B C C
B D D
B D B
C D D
C D C
A B C D E F
15
A B A
A C C
A D A
A E E
A F F
B D B
B C B
B F F
B E B
C E C
C F C
C D D
D E D
D F F
E F E
Team1 Team2 Team3
12
Team1 Team2 Team1
Team3 Team1 Team3
Team1 Team2 Team2
Team2 Team1 Team1
Team1 Team3 Team3
Team3 Team1 Team1
Team2 Team3 Team2
Team3 Team2 Team3
Team2 Team3 Team2
Team1 Team2 Team1
Team2 Team3 Team3
Team1 Team3 Team3
Halo Hallo Bingo Jimbo
12
Halo Hallo Halo
Halo Hallo Hallo
Halo Bingo Halo
Halo Bingo Bingo
Halo Jimbo Halo
Halo Jimbo Jimbo
Hallo Bingo Hallo
Hallo Bingo Bingo
Hallo Jimbo Hallo
Hallo Jimbo Jimbo
Bingo Jimbo Bingo
Bingo Jimbo Jimbo
