10
A Clubs
4 Diamonds
K Clubs
T Clubs
6 Hearts
J Clubs
Q Clubs
A Diamonds
A Clubs
A Hearts
A Spades
K Diamonds
J Diamonds
Q Diamonds
A Spades
K Spades
Q Spades
J Spades
T Hearts
T Diamonds
T Clubs
A Spades
K Spades
Q Spades
J Spades
T Spades
8 Spades
8 Clubs
T Spades
Q Spades
8 Spades
K Spades
8 Clubs
J Spades
A Spades
A Diamonds
A Spades
A Hearts
A Clubs
2 Clubs
2 Spades
J Diamonds
K Hearts
J Hearts
Q Hearts
T Hearts
8 Hearts
2 Hearts
A Hearts
K Diamonds
J Hearts
Q Hearts
T Hearts
8 Hearts
2 Hearts
A Hearts
A Diamonds
A Hearts
A Clubs
Q Diamonds
K Diamonds
T Diamonds
J Diamonds
9 Diamonds
7 Hearts
2 Clubs
4 Spades
A Diamonds
T Clubs
Q Hearts
