6
5
1 1 1 1 1
1 5 1 1 1
1 1 1 1 1
1 1 1 2 1
1 1 1 1 2
6
9 9 9 1 1 1
9 9 9 1 1 1
9 9 9 8 8 1
1 1 8 8 8 1
1 1 8 8 8 1
1 1 1 1 1 1
3
71105 65174 20598
95472 42030 101
75078 51649 42778
6
85453 60135 63327 65334 14668 61299
46202 88990 89972 37077 99152 85386
84487 79877 49223 32448 65774 76693
44465 76066 24693 7156 18381 68967
21527 73243 94173 82628 74845 97431
20110 70291 41682 6297 95817 97137
10
88466 45410 2897 82946 79445 7417 3464 65640 85913 20673
5728 77155 17718 99256 98619 31078 4498 10552 39220 92905
394 5393 91748 42146 11581 66537 39636 22532 19851 8982
45917 49033 98981 86811 12249 75639 72326 35571 40121 66245
39822 6640 29117 52478 10514 30585 56620 6943 12766 80233
70906 8099 18439 90962 95316 23886 9652 35692 85033 95182
37112 45088 99972 57361 67554 9715 57386 98410 94494 170
6004 15492 91272 93676 19887 98313 18276 1187 44631 37316
57281 47730 41173 27429 34989 70558 63153 14025 15140 64583
72652 6715 83976 22675 46096 68753 27390 89565 47194 75065
20
85171 7684 87460 46737 48113 85347 13176 76180 51223 79680 25237 45017 29136 3028 72435 55815 61968 57852 44123 82586
88397 36178 99569 40765 85739 58567 9917 55607 48592 20336 39502 14186 48138 64052 26573 32735 95274 64188 97394 83296
62493 92382 62254 1482 41809 29851 97085 40571 28997 7303 10189 46304 28033 82088 30007 1391 63861 7321 26903 29111
76477 8396 99626 51340 44805 58532 15396 67899 54960 36933 91504 61355 84217 60631 45855 34216 19392 4230 24058 53928
66304 60564 31479 15159 35611 49638 60088 28573 9568 53268 1982 10607 4078 38476 84155 79753 40940 33955 42365 61392
36275 40819 75894 65470 92881 91392 89535 29111 56603 17885 34326 9727 59805 56640 4338 73285 28649 92973 33264 47058
75123 46681 61598 96567 29606 8916 12873 42335 95268 67420 25725 53695 21714 98975 37478 44053 1997 65479 4490 44907
94522 23161 74691 54294 59322 43269 98522 39510 76813 46909 75932 23576 86386 76768 89125 309 42016 64080 63431 3790
32620 473 31981 4600 55934 91225 53779 17427 66497 48973 49323 82433 40614 85079 73112 26296 14227 69598 38150 17839
53192 60228 44012 7944 9709 45593 37074 83734 3537 8907 49184 72968 42071 94282 19359 6201 59520 49887 2010 81436
12127 29656 4754 78847 13746 58387 79045 41611 34089 3860 7668 72946 10561 53984 94531 99189 43833 67009 64298 14063
57181 48467 22017 50238 90 9812 6260 20874 67757 80578 93158 36063 89846 78430 73322 26870 14209 89610 28767 3188
74312 76046 82798 30662 82655 4805 82205 36654 36779 90576 98201 45579 59271 52504 184 99845 18683 13000 64720 44274
94399 8008 31064 39042 55211 35746 4098 19027 18737 44102 35713 35911 46788 45584 86501 3460 10439 53188 81020 16115
27746 50491 21946 26359 36956 44992 21134 47277 18536 4935 38863 93318 20436 46787 96505 84470 72784 23030 42387 16885
523 58094 5805 46460 55534 94015 69933 40947 93374 36803 30815 30893 14001 39514 86658 30019 70732 18684 19346 1626
27161 77027 88364 19174 7869 97223 56277 6419 45516 79106 4438 45292 74245 15748 77787 8180 57343 42666 18400 5352
65690 48795 8865 37967 42778 7893 48636 12448 1960 74664 29161 2952 2040 91190 56900 45251 38474 66122 97277 7554
69146 21626 77149 11613 66079 51208 88556 70939 47424 95329 82314 72012 97653 21084 26460 49089 28172 87288 31557 93547
65387 86897 12614 94647 78770 85012 65611 30188 77575 12592 85586 12742 11595 33492 42778 49971 8724 75647 63491 95993
