3
1 9 4 8 7 2 3 5 6
8 7 5 6 3 4 1 9 2
3 6 2 9 5 1 4 7 8
6 2 1 7 8 9 5 3 4
9 8 3 4 6 5 2 1 7
5 4 7 1 2 3 6 8 9
4 5 6 3 9 8 7 2 1
7 3 9 2 1 6 8 4 5
2 1 8 5 4 7 9 6 3
1 9 4 8 7 2 3 5 6
8 7 5 6 3 4 1 9 2
3 6 2 4 5 1 9 7 8
6 2 1 7 3 9 5 8 4
9 8 3 4 6 5 2 1 7
5 4 7 1 2 3 6 8 9
9 5 6 8 4 3 7 2 1
7 3 9 2 1 6 8 4 5
2 1 8 5 4 7 9 6 3
4 1 6 5 7 2 9 3 8
7 8 2 6 3 9 2 1 4
3 2 9 8 4 1 7 5 6
1 6 8 3 2 7 5 4 9
5 9 7 1 8 4 3 6 2
2 4 3 9 5 6 1 8 7
8 7 1 2 8 5 4 9 3
9 3 4 7 1 8 6 2 5
6 5 2 4 9 3 8 7 1
